t,orientacion,energometro,roboscanner,monstroscopio,vacuscopio,posicion_anterior,accion
42,-X,False,False,True,False,"(4, 5, 5)",PROPULSOR
43,-X,False,False,True,False,"(3, 5, 5)",PROPULSOR
44,-X,False,False,True,False,"(2, 5, 5)",PROPULSOR
45,-X,False,False,True,False,"(1, 5, 5)",PROPULSOR
46,-X,False,False,True,True,"(1, 5, 5)",REORIENTADOR
47,-Y,False,False,True,False,"(1, 5, 5)",PROPULSOR
48,-Z,False,False,True,False,"(0, 4, 5)",PROPULSOR
49,-Z,False,False,True,True,"(0, 4, 5)",REORIENTADOR
50,+Y,False,False,True,False,"(0, 4, 5)",PROPULSOR
51,+Y,False,False,True,False,"(0, 4, 4)",PROPULSOR
52,+Y,False,False,True,True,"(0, 4, 4)",REORIENTADOR
53,-X,False,False,True,False,"(0, 4, 4)",PROPULSOR
54,-X,False,False,True,True,"(0, 4, 4)",REORIENTADOR
55,-Y,False,False,True,False,"(0, 4, 4)",PROPULSOR
56,-Y,False,False,True,False,"(0, 5, 4)",PROPULSOR
57,-Y,False,False,True,False,"(0, 4, 4)",PROPULSOR
58,-Y,False,False,True,False,"(0, 3, 4)",PROPULSOR
59,-Y,False,False,True,False,"(0, 2, 4)",PROPULSOR
60,-Y,False,False,True,False,"(0, 1, 4)",PROPULSOR
61,-Y,False,False,True,True,"(0, 1, 4)",REORIENTADOR
62,+X,False,False,True,False,"(0, 1, 4)",PROPULSOR
63,+X,False,False,True,False,"(0, 0, 4)",PROPULSOR
64,+X,False,True,True,False,"(1, 0, 4)",REORIENTADOR
65,+Y,False,False,True,False,"(1, 0, 4)",REORIENTADOR
66,+X,False,True,True,False,"(1, 0, 4)",REORIENTADOR
67,+Y,False,False,True,False,"(1, 0, 4)",REORIENTADOR
68,-Y,False,False,True,True,"(1, 0, 4)",REORIENTADOR
69,+X,False,True,True,False,"(1, 0, 4)",REORIENTADOR
70,+Y,False,False,True,False,"(1, 0, 4)",REORIENTADOR
71,+X,False,True,True,False,"(1, 0, 4)",REORIENTADOR
72,+Y,False,False,True,False,"(1, 0, 4)",REORIENTADOR
73,+Z,False,False,True,False,"(1, 0, 4)",REORIENTADOR
74,+X,False,True,True,False,"(1, 0, 4)",REORIENTADOR
75,+Y,False,False,True,False,"(1, 0, 4)",REORIENTADOR
76,+X,False,True,True,False,"(1, 0, 4)",REORIENTADOR
77,+Y,False,False,True,False,"(1, 0, 4)",REORIENTADOR
78,-Z,False,False,True,False,"(1, 0, 4)",REORIENTADOR
79,+X,False,True,True,False,"(1, 0, 4)",REORIENTADOR
80,+Y,False,False,True,False,"(1, 0, 4)",REORIENTADOR
81,+X,False,True,True,False,"(1, 0, 4)",REORIENTADOR
82,+Y,False,False,True,False,"(1, 0, 4)",REORIENTADOR
83,-Y,False,False,True,False,"(1, 0, 4)",REORIENTADOR
84,+X,False,True,True,False,"(1, 0, 4)",REORIENTADOR
85,+Y,False,False,True,False,"(1, 0, 4)",REORIENTADOR
86,+X,False,True,True,False,"(1, 0, 4)",REORIENTADOR
87,+Y,False,False,True,False,"(1, 0, 4)",REORIENTADOR
88,-Z,False,False,True,False,"(2, 0, 4)",PROPULSOR
89,-Z,False,False,True,False,"(2, 0, 3)",PROPULSOR
90,-Z,False,False,True,False,"(2, 0, 2)",PROPULSOR
91,-Z,False,False,True,False,"(2, 0, 1)",PROPULSOR
92,-Z,False,False,True,True,"(2, 0, 1)",REORIENTADOR
93,+Y,False,False,True,False,"(2, 0, 1)",PROPULSOR
94,+Y,False,False,True,False,"(2, 0, 0)",PROPULSOR
95,+Y,True,False,True,False,"(2, 1, 0)",VACUUMATOR
